FR_new	EN_new	DE_new	ES_new	NL_new	SV_new	IT_new	PT_new	RO_new	PL_new	SL_new	CS_new	RU_new	BG_new	ET_new	FI_new	HU_new	NO_new
NA	NA	lassen_V	NA	laten_V	lata_V	NA	NA	NA	pozwolic_V	NA	NA	NA	NA	laskma_Vda	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	deixar_V	NA	NA	NA	nechat_V	NA	NA	NA	NA	NA	NA
laisser_V	NA	NA	NA	NA	NA	lasciare_V	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	la_V
laisser_V_Trans_Refl	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
faire_V	get_to_V	NA	hacer_V	NA	fa_att_V	NA	fazer_Vinfl	face_sa_V	NA	NA	NA	NA	NA	panema_Vma	NA	NA	fa_til_a_V
laisser_V	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
faire_V	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
faire_V	get_to_V	NA	NA	NA	NA	costringere_a_V	NA	convinge_sa_V_Trans	NA	NA	NA	NA	NA	sundima_Vma	NA	NA	fa_til_a_V
faire_V	NA	NA	hacer_V	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
forcer_a_V_Trans	make_V_Trans	NA	obligar_a_V_Trans	NA	tvinga_att_V_Trans	costringere_a_V_Trans	forcar_a_V_Trans_Refl	face_sa_V_Trans_Refl	NA	siliti_da_Clause_Trans	NA	zastavljat_V_Trans_Refl	ostavjam_da_Clause_Trans_Refl	sundima_Vma	panna_Villative_Trans	NA	fa_til_a_V_Trans
NA	NA	lassen_V_Trans_Refl	NA	NA	NA	NA	NA	NA	NA	NA	nechat_V_Trans_Refl	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	dawac_V_Trans_Refl	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	pustiti_V	nechat_V	davat_V	NA	laskma_Vda	NA	NA	NA
faire_V	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	lassen_V_Trans	NA	NA	NA	NA	NA	NA	NA	dati_V_Trans	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	nechat_V_Trans	NA	NA	NA	NA	NA	NA
NA	NA	lassen_V	NA	laten_V_ClauseComp	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	lassen_V_Trans	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	lassen_V_Trans	NA	NA	NA	NA	NA	NA	NA	NA	dat_V_Trans	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	laten_V_Trans	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	lata_V	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	fa_att_V	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	fare_V	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	NA	NA	NA	NA	NA	fare_V	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
laisser_V	let_V	NA	dejar_V	laten_V	NA	fare_V	deixar_V	lasa_sa_V	NA	NA	NA	NA	NA	laskma_Vda	NA	NA	la_V
